Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 570 (C2) mean	Nucleus: Opal 570 (C2) sum	Nucleus: Opal 570 (C2) std dev	Nucleus: Opal 570 (C2) max	Nucleus: Opal 570 (C2) min	Nucleus: Opal 570 (C2) range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Sample AF (C5) mean	Nucleus: Sample AF (C5) sum	Nucleus: Sample AF (C5) std dev	Nucleus: Sample AF (C5) max	Nucleus: Sample AF (C5) min	Nucleus: Sample AF (C5) range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 570 (C2) mean	Cell: Opal 570 (C2) std dev	Cell: Opal 570 (C2) max	Cell: Opal 570 (C2) min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Sample AF (C5) mean	Cell: Sample AF (C5) std dev	Cell: Sample AF (C5) max	Cell: Sample AF (C5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 570 (C2) mean	Cytoplasm: Opal 570 (C2) std dev	Cytoplasm: Opal 570 (C2) max	Cytoplasm: Opal 570 (C2) min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Sample AF (C5) mean	Cytoplasm: Sample AF (C5) std dev	Cytoplasm: Sample AF (C5) max	Cytoplasm: Sample AF (C5) min	Nucleus/Cell area ratio	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Sample AF mean	Nucleus: Sample AF sum	Nucleus: Sample AF std dev	Nucleus: Sample AF max	Nucleus: Sample AF min	Nucleus: Sample AF range	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Sample AF mean	Cell: Sample AF std dev	Cell: Sample AF max	Cell: Sample AF min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Sample AF mean	Cytoplasm: Sample AF std dev	Cytoplasm: Sample AF max	Cytoplasm: Sample AF min
WJ_Scan1.qptiff - resolution #1	31928b9d-b32b-4237-ab9e-d43f5d4c1c29	Cell			Annotation	Polygon	1811.5	3827.2	24.5	17.5952	0.9945	5.9888	5	0.55	77.71	7771	14.4769	116	44	72	21.91	2191	21.5609	131	6	125	51.5	5150	24.1897	173	27	146	31.09	3109	4.4904	42	24	18	79.87	7987	2.1351	85	76	9	60	31.2041	0.7744	11.4796	7.8361	0.7668	43.2951	31.5516	116	7	31.4221	33.6005	177	6	41.9713	28.2364	173	7	36.5246	5.6768	46	24	81.3852	2.1695	86	76	19.3958	11.9645	58	7	38.0278	38.5934	177	7	35.3542	29.02	138	7	40.2986	2.4094	46	33	82.4375	1.4567	86	78	0.3924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	dda56c46-f454-4374-9d38-ddecfb0d57c5	Cell			Annotation	Polygon	1718.9	3829.4	37.75	22.2032	0.9623	7.652	6.3683	0.4785	69.7484	10811	13.9431	111	34	77	8.7742	1360	1.7416	13	6	7	33.6065	5209	28.1174	208	13	195	83.2516	12904	18.8558	130	55	75	100.3613	15556	6.31	117	90	27	150.75	46.6524	0.8704	16.8269	12.6905	0.6086	27.7599	26.5643	111	2	10.5312	3.1715	17	2	16.8438	17.7055	208	4	103.3997	34.0611	167	22	105.5329	10.734	128	80	13.3929	8.3645	57	2	11.1325	3.3246	17	2	11.1082	4.7223	41	4	110.2936	35.3558	167	22	107.3024	11.3513	128	80	0.2473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	08b963a0-3ac5-44cd-8466-a2a0f3581287	Cell			Annotation	Polygon	1698	3829	23	18.0302	0.8891	6.4988	4.6476	0.7512	66.0515	6407	17.4101	130	32	98	4.1649	404	1.1427	7	3	4	23.6907	2298	7.2232	40	11	29	37.8866	3675	10.1672	67	23	44	87.8454	8521	3.8496	97	82	15	68	34.614	0.7132	14.1623	7.778	0.8413	36.1273	26.4769	130	2	4.6364	1.8812	9	2	15.3927	8.5418	40	4	42.9055	16.9496	84	20	89.2473	5.8062	103	79	19.8202	12.7533	58	2	4.8933	2.1405	9	2	10.8708	5.1333	29	4	45.6404	19.1661	84	20	90.0112	6.5181	103	79	0.3416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	35c858a7-cd4b-404a-b0fd-baae68ff6f72	Cell			Annotation	Polygon	1768.2	3828	12.25	13.5937	0.8331	5.2577	3.1712	0.7938	68.8727	3788	30.3108	155	35	120	4.1273	227	0.6682	6	3	3	31.7455	1746	15.5328	71	12	59	28.5455	1570	2.4782	37	23	14	80.6182	4434	1.4718	86	78	8	69	30.8342	0.912	11.7038	8.1448	0.6776	25.4607	27.3228	155	2	3.6429	1.5314	10	2	21.8179	23.2209	139	5	24.4143	4.8445	40	15	78.95	2.1228	86	75	14.8489	11.511	48	2	3.5244	1.6558	10	2	19.3911	24.1522	139	5	23.4044	4.7473	40	15	78.5422	2.0592	86	75	0.1838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	4b6f2501-40d8-49d2-8dbf-c2e6ec65c168	Cell		8 EGM	Annotation	Polygon	1789.1	3831.9	36.75	26.501	0.6576	8.8943	6.3201	0.6821	100.6133	15092	23.4073	170	59	111	41.18	6177	45.9146	209	9	200	136.6933	20504	64.4364	246	39	207	35.2267	5284	5.4331	64	28	36	84.86	12729	2.8403	99	80	19	82.5	38.8915	0.6854	15.7974	8.7212	0.8558	65.506	40.3081	170	3	36.1054	40.731	210	4	109.0331	71.8722	246	7	35.2982	7.007	64	17	84.0602	3.6255	99	75	36.5714	25.6302	115	3	31.9231	35.4897	210	4	86.2363	69.799	246	7	35.3571	8.0919	63	17	83.4011	4.0533	96	75	0.4387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	75ca5e22-9018-426c-95e0-016fe6f110f2	Cell			Annotation	Polygon	1827.8	3833.2	42.75	24.2516	0.9134	8.9547	6.6691	0.6957	55.1264	9592	12.4286	94	27	67	7.3621	1281	2.4331	19	4	15	20.5057	3568	8.2102	47	8	39	55.2816	9619	17.1058	100	32	68	85.7874	14927	5.165	99	79	20	174	49.97	0.8757	18.6184	13.3333	0.729	23.2529	20.0978	94	4	8.2843	2.68	19	2	12.7614	8.4729	91	4	73.2471	25.5557	118	24	90.57	7.3946	104	74	12.7091	6.229	37	4	8.5894	2.6901	14	2	10.1996	6.8497	91	4	79.1901	25.1152	118	24	92.1521	7.3433	104	74	0.2447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	b3e88bea-f7dc-47c1-a332-5fcff730c34d	Cell			Annotation	Polygon	1705.3	3832.8	18	15.3618	0.9585	5.6237	3.9618	0.6755	42.3733	3178	10.5559	70	21	49	5.4533	409	2.1642	11	2	9	10.9733	823	1.0902	13	8	5	45.6267	3422	17.7016	81	20	61	88.4933	6637	5.3205	98	80	18	109.5	39.6572	0.8749	13.9248	10.6143	0.5457	17.5601	15.8381	70	2	4.0567	2.3911	16	1	8.4354	4.2492	31	4	37.1814	19.2268	89	17	86.2608	6.1779	103	78	12.4754	11.2855	67	2	3.7705	2.3366	16	1	7.9153	4.4643	31	4	35.4508	19.0905	89	17	85.8033	6.2478	103	78	0.1583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	c4ac4bab-9def-4e8f-953b-0f1103459678	Cell		8 IGM	Annotation	Polygon	1762.2	3833	25.75	23.9855	0.5625	9.5952	3.5378	0.9415	75.066	7957	30.8962	152	28	124	19.8962	2109	16.5374	85	5	80	185.4717	19660	79.5316	242	19	223	59.5189	6309	20.9567	110	32	78	95.5094	10124	11.2675	121	80	41	120.25	46.4559	0.7002	17.7511	10.118	0.8623	27.8678	30.7058	152	2	9.8388	11.3102	85	2	94.4814	91.5973	242	6	41.062	18.0365	110	15	86.6116	9.2409	121	75	14.6323	11.836	62	2	7.0185	7.1625	72	2	68.9656	77.5033	242	6	35.8862	13.1082	85	15	84.1164	6.7484	110	75	0.2095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	0d233e79-2023-4a64-be8e-8f10cab4d094	Cell			Annotation	Polygon	1739.1	3837	51.5	32.3053	0.6201	11.7028	7.0983	0.7803	54.9038	11420	13.9378	107	23	84	4.274	889	1.128	8	2	6	27.7644	5775	15.9006	97	12	85	39.1635	8146	12.3801	89	25	64	85.2692	17736	4.3121	101	80	21	222	58.999	0.8014	21.1257	14.4911	0.6921	26.2615	19.6517	107	4	6.3311	4.2471	33	2	16.5163	14.0082	122	6	61.202	41.7566	252	23	91.9865	14.188	180	78	17.5388	10.8908	62	4	6.9575	4.6335	33	2	13.0908	11.3578	122	6	67.9136	45.118	252	23	94.0322	15.4627	180	78	0.2292	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	25976fda-006e-45ca-976e-dbe55c8f739d	Cell			Annotation	Polygon	1809.7	3834.5	18.5	16.1741	0.8887	6.2833	3.8343	0.7978	52.2949	4079	9.8206	81	35	46	37.359	2914	26.5907	136	12	124	96.0641	7493	42.2922	184	35	149	37.3974	2917	4.1194	47	30	17	82.641	6446	1.7431	87	79	8	59	31.9756	0.7251	12.8269	6.8384	0.8528	31.5816	18.8162	81	6	47.4059	35.9474	178	7	87	55.6653	242	18	39.7657	6.4505	57	24	83.0418	2.9857	91	76	21.5466	13.0288	53	6	52.2733	38.8439	178	7	82.6087	60.7369	242	18	40.913	7.0475	57	24	83.236	3.4178	91	76	0.3054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	a16f1985-e393-448b-82d8-b84bae3a638f	Cell			Annotation	Polygon	1775.8	3836.4	32.25	25.9159	0.6034	10.2048	4.5548	0.9254	70.2239	9410	20.5341	108	33	75	5.3433	716	1.7347	12	3	9	26.4925	3550	23.1301	170	8	162	29.6567	3974	6.6605	47	18	29	80.9851	10852	2.6726	88	76	12	104.25	41.3389	0.7666	14.9032	9.9604	0.7461	34.0544	28.5331	108	3	5.7754	5.5323	72	2	22.1442	28.4791	235	6	27.5461	6.696	51	16	79.8345	2.7796	92	75	17.2837	10.3583	49	3	5.9758	6.5825	72	2	20.128	30.471	235	6	26.5675	6.4944	51	16	79.301	2.6685	92	75	0.3125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	442016d3-c25b-4521-b252-d81b0101e77c	Cell			Annotation	Polygon	1785.5	3839.4	19.25	15.9575	0.95	5.9997	4.1386	0.7178	65.2308	5088	14.3499	107	37	70	18.5256	1445	10.6451	57	9	48	34.6026	2699	17.6674	97	15	82	32.8846	2565	4.7014	42	27	15	81.3333	6344	1.5846	85	79	6	43.5	25.3228	0.8525	9.2774	7.0711	0.6295	40.7416	25.6059	107	8	25.264	21.3698	161	6	30.6461	17.9857	97	8	35.2472	5.524	45	26	81.736	1.7084	86	78	21.64	13.0775	62	8	30.52	25.7809	161	6	27.56	17.7094	96	8	37.09	5.4348	45	26	82.05	1.743	86	78	0.422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	ae3b76c1-db92-4819-b1f2-c2a588954832	Cell		8 EGM	Annotation	Polygon	1793.9	3837.4	13.25	13.9365	0.8573	5.5258	3.3013	0.8128	90.1071	5046	31.0195	160	40	120	24.9107	1395	14.8866	66	11	55	27.9464	1565	13.68	61	13	48	34.4821	1931	3.2807	41	29	12	81.5536	4567	1.2198	84	79	5	56.5	29.8786	0.7953	11.9032	6.1413	0.8599	38.1645	36.5888	160	3	28.8658	24.7259	144	3	30.5758	34.187	212	7	33.6277	8.1021	54	15	80.8268	3.0624	89	74	21.5429	17.8676	74	3	30.1314	27.0451	144	3	31.4171	38.5072	212	7	33.3543	9.1136	54	15	80.5943	3.4209	89	74	0.2231	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	9688faea-591a-4f9e-bcdf-218dca482dba	Cell			Annotation	Polygon	1805	3840.4	22	17.6234	0.8901	6.2091	4.8964	0.3749	76.6889	6902	17.5023	124	40	84	32.0778	2887	18.2942	74	13	61	65.6111	5905	31.4998	177	29	148	37.5778	3382	5.6229	55	29	26	82.4111	7417	2.4854	89	78	11	90.25	39.1047	0.7416	15.5616	8.4205	0.8647	33.5549	28.3045	124	3	38.6896	35.0974	201	2	57.6896	47.6424	243	5	38.8049	6.9855	63	22	82.6566	3.184	94	75	19.3869	12.2703	55	3	40.8613	38.8545	201	2	55.0876	51.6442	243	5	39.208	7.3428	63	22	82.7372	3.3823	94	75	0.2353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	972fc899-4382-4c0a-9055-9a3de2a8bd0e	Cell			Annotation	Polygon	1816.3	3841.5	28	20.4585	0.8407	8.0385	4.5356	0.8425	72.8696	8380	24.1543	161	36	125	10.0261	1153	8.4256	58	4	54	28.4348	3270	15.9138	92	8	84	33.713	3877	7.8178	66	26	40	80.1826	9221	2.2107	89	77	12	132.25	43.2396	0.8889	15.9189	11.078	0.7026	32.0469	27.0706	161	4	13.6304	18.7434	180	4	20.5947	27.872	226	6	61.3846	29.0281	122	26	87.8781	8.3809	106	77	20.8158	13.762	65	4	14.622	20.5968	180	4	18.4378	30.004	226	6	68.9976	28.0897	122	28	89.9952	8.2127	106	77	0.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	b5c824ba-07d9-4824-bbd9-b3bb9da68dce	Cell			Annotation	Polygon	1697.5	3839.8	24.5	20.1512	0.7582	7.7105	4.3879	0.8205	48.7961	5026	13.5656	105	31	74	3.9709	409	1.1754	7	2	5	19.3398	1992	5.2591	36	11	25	36.0291	3711	10.9977	69	21	48	87.2913	8991	3.6018	98	82	16	86.5	38.5557	0.7312	12.8767	11.1922	0.4003	30.8604	16.206	105	5	3.9487	1.7412	9	1	16.9658	9.7156	90	6	36.5783	16.0453	85	18	87.2821	5.5686	105	80	23.4113	10.3102	55	5	3.9395	1.93	9	1	15.9798	10.9091	90	6	36.8064	17.7393	85	18	87.2782	6.2115	105	80	0.2795	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	9af6375b-70bd-447c-ba47-4666f7c09d9c	Cell			Annotation	Polygon	1723.3	3839.6	29.75	19.9324	0.941	7.2043	5.6063	0.5901	64.9106	7984	11.8107	93	36	57	4.4309	545	1.4089	8	3	5	23.3008	2866	8.9249	59	12	47	39.3984	4846	12.7849	75	25	50	85.9431	10571	4.3482	98	80	18	105.5	41.0268	0.7876	13.983	11.5494	0.3903	29.9906	24.9754	93	3	6.7916	3.3701	14	2	20.0094	18.3349	135	4	64.1194	33.8664	134	22	93.2389	10.3576	115	80	15.8618	11.2041	64	3	7.7467	3.4629	14	2	18.6776	20.8419	135	4	74.1217	34.6157	134	22	96.1908	10.6239	115	80	0.2769	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	3beff35a-dfb4-4485-80f2-49171090336a	Cell			Annotation	Polygon	1753.9	3840.4	32.75	28.6909	0.5	9.3999	6.3429	0.8094	81.8333	11293	26.1856	178	40	138	6.8696	948	3.0008	15	2	13	164.6377	22720	90.3997	242	16	226	44.0507	6079	16.5226	84	20	64	89.2754	12320	8.5451	110	78	32	137.75	45.8846	0.8222	15.5884	12.4034	0.5229	39.3375	35.3709	195	3	5.1444	3.6339	30	2	74.8141	82.7364	242	6	33.2635	12.8152	84	17	83.435	6.3863	110	76	25.2404	25.319	195	3	4.5721	3.6477	30	2	45.0168	53.3933	242	6	29.6851	8.7858	57	17	81.4976	3.8907	95	76	0.2419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	0f2bcbc4-c3b6-4440-8e8d-8f39551ab3c1	Cell			Annotation	Polygon	1732.1	3845.4	31.25	20.8186	0.9061	7.9613	5.4929	0.7304	55.4252	7039	16.6907	128	35	93	5.3937	685	2.5578	13	3	10	19.7402	2507	15.1444	104	8	96	55.7717	7083	28.8835	132	25	107	91.0551	11564	9.5446	116	80	36	109.5	41.6075	0.7948	16.1474	10.7348	0.7503	25.6818	22.4726	128	3	6.7932	3.8827	24	2	21.1114	23.5217	162	6	65.95	38.5914	207	21	93.3864	11.9431	135	79	13.6134	9.5847	41	3	7.361	4.1772	24	2	21.6677	26.1683	162	6	70.0799	41.2229	207	21	94.3323	12.6807	135	79	0.2814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	237e3839-f58a-4e20-9124-e5a2bbe9445a	Cell			Annotation	Polygon	1762.5	3846	34.25	29.2257	0.5039	11.271	5.3222	0.9036	62.0935	8631	22.2964	144	32	112	3.4676	482	0.7153	6	2	4	31.482	4376	18.9872	141	14	127	27.6187	3839	3.8305	40	22	18	80.5468	11196	1.9457	88	78	10	115.5	40.8675	0.869	14.8893	10.4951	0.7275	32.4172	26.649	144	2	3.2323	0.8721	6	1	20.372	14.8181	141	6	26.5269	4.5186	40	16	79.7419	1.8058	88	76	19.7638	16.2958	61	2	3.1319	0.9137	6	1	15.635	9.2253	77	6	26.0613	4.711	38	16	79.3988	1.6287	85	76	0.2976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	d2f30a97-9f47-446c-a3b1-2ebe27436af5	Cell		8 EGM	Annotation	Polygon	1798.3	3845.3	39.75	22.4811	0.9884	7.6758	6.4695	0.5135	106.1887	16884	33.0523	241	57	184	12.0503	1916	7.4637	58	5	53	49.522	7874	25.1383	134	16	118	28.3396	4506	5.0652	42	20	22	79.9245	12708	1.871	84	76	8	111.5	39.9441	0.8782	14.0293	10.5095	0.6214	49.3772	47.6282	241	4	24.221	33.2844	213	3	35.1094	27.0376	152	6	36.8683	12.7877	146	20	82.0112	4.1474	116	76	18.1211	12.6201	70	4	30.917	39.524	213	3	27.1799	24.7015	152	6	41.5606	13.322	146	30	83.1592	4.5881	116	78	0.343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	6f030f23-72b1-48c4-8b8d-7104b0dfe742	Cell			Annotation	Polygon	1775.5	3844.2	15	14.084	0.9503	5.1	3.9994	0.509	55.4762	3495	11.3945	82	28	54	3	189	0.5388	4	2	2	26.3016	1657	9.972	53	13	40	22.1746	1397	3.608	35	16	19	77.6667	4893	1.3678	82	75	7	64.75	30.6701	0.865	11.567	7.5	0.7275	21.1962	22.0789	82	2	2.4346	0.8697	5	1	12.6615	9.5824	53	5	19.3885	6.0995	42	13	76.7	1.9537	85	74	10.2335	10.2268	42	2	2.2538	0.8786	5	1	8.2995	3.3099	20	5	18.4975	6.4615	42	13	76.3909	2.0139	85	74	0.2252	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	09c9cbf5-7adf-4b1d-91f5-760b2cbb10c0	Cell			Annotation	Polygon	1829.6	3847.2	28	20.6579	0.8245	8.0235	4.4213	0.8242	53.9027	6091	9.8877	89	34	55	6.8053	769	1.9542	14	4	10	15.0708	1703	7.4889	48	8	40	50.7611	5736	16.744	95	30	65	84.5575	9555	5.1823	97	77	20	108	41.4594	0.7896	15.483	9	0.7349	27.3986	19.1037	89	5	8.371	2.0509	14	3	10.2304	5.0825	48	5	77.106	23.1465	110	29	91.4677	6.5573	103	75	18.0685	11.1457	80	5	8.9221	1.7845	12	3	8.5265	2.0341	22	5	86.3801	17.189	110	29	93.9003	5.0974	103	75	0.2541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	5e2c3389-71bb-4da2-9aa4-778e7e9c5b8f	Cell			Annotation	Polygon	1718.1	3848.6	35.25	24.4492	0.741	9.6675	5.8631	0.7972	65.8531	9417	24.8933	146	25	121	5.6993	815	1.1929	9	4	5	22.8462	3267	7.4742	46	9	37	46.3427	6627	7.2783	67	36	31	88.5944	12669	2.3534	95	85	10	158.75	49.3151	0.8203	18.9145	12.4595	0.7499	26.7684	26.0995	146	5	7.6901	4.5446	37	3	12.7903	7.8634	46	5	58.4961	17.8046	124	33	91.82	5.5636	113	82	15.5	11.4742	64	5	8.2641	4.9735	37	3	9.8911	5.1026	41	5	62	18.396	124	33	92.75	5.8681	113	82	0.2164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
WJ_Scan1.qptiff - resolution #1	2106d635-7efe-4fa2-b815-772a8c881ca0	Cell			Annotation	Polygon	1703.1	3845.2	25	21.7772	0.6624	8.3929	4.3684	0.8972	63.8333	6511	17.3771	115	32	83	5.3431	545	2.3818	21	3	18	10.8235	1104	3.0063	18	7	11	36.2059	3693	12.2679	70	23	47	86.8922	8863	4.5748	100	81	19	92.75	43.8396	0.6064	17.6151	8.4767	0.9189	31.7727	24.8095	115	4	6.0428	3.5358	41	2	9.4813	4.0378	41	5	46.3717	15.6749	96	22	89.9572	5.9869	117	81	19.75	14.2367	60	4	6.3051	3.8523	41	2	8.9779	4.2591	41	5	50.1838	15.1198	96	22	91.1066	6.0557	117	81	0.2644	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
